Date,Cash,Inventory,Account Receivables,Account Payables,Notes n Interests Payables,Net Working Capital
2019-10-01,3000,0,0,0,0,3000
2019-10-02,3000,0,0,0,0,3000
2019-10-03,3000,0,0,0,0,3000
2019-10-04,3000,0,0,0,0,3000
2019-10-05,3000,0,0,0,0,3000
2019-10-06,3000,0,0,0,0,3000
2019-10-07,3000,0,1200,0,0,4200
2019-10-08,4200,0,0,0,0,4200
2019-10-09,4200,0,0,0,0,4200
2019-10-10,4200,0,0,0,0,4200
2019-10-11,4200,0,0,0,0,4200
2019-10-12,4200,0,0,0,0,4200
2019-10-13,4200,0,0,1000,0,3200
2019-10-14,3200,0,0,0,0,3200
2019-10-15,3200,0,0,0,0,3200
2019-10-16,3200,0,0,0,0,3200
2019-10-17,3200,0,1100,0,0,4300
2019-10-18,4300,0,0,0,0,4300
2019-10-19,4300,0,0,0,0,4300
2019-10-20,4300,0,0,0,2200,2100
2019-10-21,2100,0,0,0,0,2100
2019-10-22,2100,0,0,0,0,2100
2019-10-23,2100,0,700,0,0,2800
2019-10-24,2800,0,0,0,0,2800
2019-10-25,2800,0,0,0,0,2800
2019-10-26,2800,0,0,0,0,2800
2019-10-27,2800,0,0,0,0,2800
2019-10-28,2800,0,0,0,0,2800
2019-10-29,2800,0,0,0,0,2800
2019-10-30,2800,0,0,2000,0,800
2019-10-31,800,0,0,0,0,800
2019-11-01,800,0,0,0,0,800
2019-11-02,800,0,0,0,0,800
2019-11-03,800,0,0,0,0,800
2019-11-04,800,0,0,0,0,800
2019-11-05,800,0,0,0,0,800
2019-11-06,800,0,0,0,0,800
2019-11-07,800,0,0,0,0,800
2019-11-08,800,0,0,0,0,800
2019-11-09,800,0,1200,0,0,2000
2019-11-10,2000,0,0,0,0,2000
2019-11-11,2000,0,0,0,0,2000
2019-11-12,2000,0,0,0,0,2000
2019-11-13,2000,0,0,0,0,2000
2019-11-14,2000,0,0,0,0,2000
2019-11-15,2000,0,0,0,2000,0
2019-11-16,0,0,0,0,0,0
2019-11-17,0,0,0,2000,0,-2000
2019-11-18,-2000,0,0,0,0,-2000
2019-11-19,-2000,0,900,0,0,-1100
2019-11-20,-1100,0,0,0,0,-1100
2019-11-21,-1100,0,0,0,0,-1100
2019-11-22,-1100,0,0,0,0,-1100
2019-11-23,-1100,0,1000,0,0,-100
2019-11-24,-100,0,0,0,0,-100
2019-11-25,-100,0,0,0,0,-100
2019-11-26,-100,0,0,0,0,-100
2019-11-27,-100,0,0,0,0,-100
2019-11-28,-100,0,0,0,0,-100
2019-11-29,-100,0,0,2000,0,-2100
2019-11-30,-2100,0,0,0,0,-2100
2019-12-01,-2100,0,0,0,0,-2100
2019-12-02,-2100,0,0,0,0,-2100
2019-12-03,-2100,0,0,0,0,-2100
2019-12-04,-2100,0,0,0,0,-2100
2019-12-05,-2100,0,0,0,0,-2100
2019-12-06,-2100,0,0,0,0,-2100
2019-12-07,-2100,0,0,0,0,-2100
2019-12-08,-2100,0,0,0,0,-2100
2019-12-09,-2100,0,0,0,0,-2100
2019-12-10,-2100,0,0,0,0,-2100
2019-12-11,-2100,0,0,0,0,-2100
2019-12-12,-2100,0,0,0,0,-2100
2019-12-13,-2100,0,600,0,0,-1500
2019-12-14,-1500,0,0,0,0,-1500
2019-12-15,-1500,0,0,0,0,-1500
2019-12-16,-1500,0,0,0,0,-1500
2019-12-17,-1500,0,0,0,0,-1500
2019-12-18,-1500,0,0,0,0,-1500
2019-12-19,-1500,0,0,0,1000,-2500
2019-12-20,-2500,0,0,0,0,-2500
2019-12-21,-2500,0,0,0,0,-2500
2019-12-22,-2500,0,0,0,0,-2500
2019-12-23,-2500,0,2000,0,0,-500
2019-12-24,-500,0,0,0,0,-500
2019-12-25,-500,0,0,0,0,-500
2019-12-26,-500,0,0,0,0,-500
2019-12-27,-500,0,0,0,0,-500
2019-12-28,-500,0,0,0,0,-500
2019-12-29,-500,0,0,0,0,-500
2019-12-30,-500,0,0,2300,0,-2800
2019-12-31,-2800,0,0,0,0,-2800
2020-01-01,-2800,0,0,0,0,-2800
2020-01-02,-2800,0,0,0,0,-2800
2020-01-03,-2800,0,0,0,0,-2800
2020-01-04,-2800,0,0,0,0,-2800
2020-01-05,-2800,0,0,0,0,-2800
2020-01-06,-2800,0,5000,0,0,2200
2020-01-07,2200,0,0,0,0,2200
2020-01-08,2200,0,0,0,0,2200
2020-01-09,2200,0,0,0,0,2200
2020-01-10,2200,0,0,0,0,2200
2020-01-11,2200,0,0,0,0,2200
2020-01-12,2200,0,0,0,0,2200
2020-01-13,2200,0,0,0,0,2200
2020-01-14,2200,0,0,0,1100,1100
2020-01-15,1100,0,0,0,0,1100
2020-01-16,1100,0,0,0,0,1100
2020-01-17,1100,0,0,0,0,1100
2020-01-18,1100,0,0,0,0,1100
2020-01-19,1100,0,0,0,0,1100
2020-01-20,1100,0,0,0,0,1100
2020-01-21,1100,0,0,0,0,1100
2020-01-22,1100,0,0,0,0,1100
2020-01-23,1100,0,2600,0,0,3700
2020-01-24,3700,0,0,0,0,3700
2020-01-25,3700,0,0,0,0,3700
2020-01-26,3700,0,0,0,0,3700
2020-01-27,3700,0,0,0,0,3700
2020-01-28,3700,0,0,0,0,3700
2020-01-29,3700,0,0,0,0,3700
2020-01-30,3700,0,0,3000,0,700
2020-01-31,700,0,0,0,0,700
